"Programme Category","Programme Name","Programme Begin Year"
"PG","M.Tech CSE",2021
"PG","M.Tech ECE",2021
"PG","M.Tech ME",2021
"PG","M. Tech Mechatronics",2020
"PG","M.Des Design",2021
"PG","M.Tech SM",2021
"PHD","Phd in CSE",2021
"PHD","Phd in ECE",2021
"PHD","Phd in ME",2021
"PHD","PhD in Physics",2017
"PHD","PhD in Maths",2017
"PHD","PhD in English",2018
"PHD","PhD in Design",2017
"UG","B.Tech ME",2021
"UG","B.Design",2021
"UG","B.Tech CSE",2021
"UG","B.Tech ECE",2021
"UG","B.Tech SM",2021

