"code","name","credit","lecture_hours","tutorial_hours","pratical_hours","discussion_hours","project_hours","pre_requisits","syllabus","ref_books","percent_course_attendance","percent_endsem","percent_midsem","percent_project","percent_quiz_1","percent_quiz_2","percent_lab_evaluation"
"NS205c","Discrete Mathematics",4,3,0,2,0,0,"NIL","Preliminaries: Sets, relations, partial ordering, total orders, equivalence relations, functions and sequences.
Logic and proofs: propositional logic and equivalences, predicates, quantifiers, rules of inferences, proof methods, mathematical induction. [7H]
Number Theory: Division algorithm, Euclid’s algorithm, fundamental theorem of arithmetic, Chinese remainder theorem. [7H]
Basics of Combinatorics: Counting principles, Permutations, combinations, generalized permutations and combinations, recurrence relations and generating function. [7H]
Algebra: Groups and normal subgroups, homomorphism and isomorphism, rings, integral domains, fields, lattices and Boolean Algebra. [7H]
Graphs: Graphs. Graph representations, special types of graphs, graph isomorphism, connectivity, Euler and Hamiltonion paths, planar graphs, graph coloring. [7H]
Probability and Statistics: Basic probability, conditional probability, random variables, probability distribution, variance, central limit theorem, confidence interval and hypothesis testing. [7H]","Text/Reference books:
1. K. H. Rosen, Discrete Mathematics and Its Applications, 6th Edition / International Students
Edition, Tata McGraw Hill, 2007.
2. C.L. Liu, Elements of Discrete Mathematics, 2nd Edition, Tata McGraw Hill, 2000.
3. L. Lovász, J. Pelikán, K. Vesztergombi, Discrete Mathematics: Elementary and Beyond (Undergraduate Texts in Mathematics), Springer, 2003.
4. S. M. Ross, Introduction to Probability and Statistics for Engineers and Scientists, Elsevier, 2014.",10,40,20,10,5,5,10
"NS205i","Culture and Science-a comparison",4,3,0,0,1,0,"NIL","Science and Humanities. [11L]
Magnifying and Classifying in Science, Linear approach to thought in Science, Hierarchical and Horizontal linkages to development through Science
[11L]
Synthesis and Transformation in Cultural Progress, Concentric approach to thought in Humanities, Concentric Context to development and Culture
Indian Intellectual Traditions [20 L]
Unity in Diversity- From Unity to Multiplicity, Upanishads and 21st Century- Vision and Pluralism, Concept of holiness in a World of Conflict, The Spirit in Human Being, Progress in Science, Progress in Humanities.","Text/Reference books:
1. Progress and Values in the Humanities- Volney Gay- Columbia University, New York.
2. A Cultural History of India- A.L.Basham
3. India’s Intellectual Traditions- World Association for Vedic Studies",10,40,20,10,5,5,10
"CS418b","Data Mining and Data Warehousing",4,3,0,0,0,0,"NIL","Introduction to Data Mining: What is data mining? , Related technologies - Machine Learning, DBMS, OLAP, Statistics, Data Mining Goals, Stages of the Data Mining Process, Data Mining Techniques, Knowledge Representation Methods. [2 H]
Data Warehouse and OLAP: Data Warehouse and DBMS, Multidimensional data model, OLAP operations. [6 H]
Data preprocessing: Data cleaning, Data transformation, Data reduction, Discretization and generating concept hierarchies, Experiments with Weka 3 Data Mining System-filters, discretization. [4 H]
Data mining knowledge representation: Task relevant data, Background knowledge, Interestingness measures, Representing input data and output knowledge, Visualization techniques. [3 H]
Attribute-oriented analysis: Attribute generalization, Attribute relevance, Class comparison, Statistical measures. [3 H]
Association rules Mining: Motivation and terminology, Example: mining weather data, Basic idea: item sets, Generating item sets and rules efficiently, Correlation analysis. [5 H]
Classification Algorithms: Basic learning/mining tasks, Inferring rudimentary rules: 1R algorithm, Decision trees, Covering rules. [4 H]
Prediction mining algorithms: The prediction task, Statistical (Bayesian) classification, Bayesian networks, Instance-based methods (nearest neighbor), Linear models. [4 H]
Evaluating what's been learned: Basic issues, Training and testing, Estimating classifier accuracy (holdout, cross-validation, leave-one-out), Combining multiple models (bagging, boosting, stacking), Minimum Description Length Principle (MLD). [2 H]
Clustering Algorithms: Basic issues in clustering, First conceptual clustering system: Cluster/2
Partitioning methods: k-means, expectation maximization (EM), Hierarchical methods: distance-based agglomerative and divisible clustering, Conceptual clustering: Cobweb. [5 H]
Text mining: extracting attributes (keywords), structural approaches (parsing, soft parsing), Bayesian approach to classifying text. [2 H]
Web mining","1. Ian H. Witten and Eibe Frank, Data Mining: Practical Machine Learning Tools and Techniques, Second Edition, Morgan Kaufmann, 2005, ISBN: 0-12-088407-0.
2. Jiawei Han, Micheline Kamber and Jian Pei, Data Mining: Concepts and Techniques, 3rd ed., Morgan Kaufmann Publishers, July 2011. ISBN 978-0123814791.
3. Margaret H Dunham, Data Mining: Introductory And Advanced Topics, Pearson Education India, 01-Sep-2006.
4. Pang-Ning Tan, Michael Steinbach, Vipin Kumar, Introduction to Data Mining, Pearson; US ed edition, May 2005.
5. Mehmed Kantardzic, Data Mining: Concepts, Models, Methods, and Algorithms, 2nd Edition, Wiley-Blackwell, 2011.",10,40,20,10,5,5,10
"CS205","Data Communication",4,2,0,3,0,0,"NIL","Introduction History and Development of Computer Networks, Networks Topologies. 
Physical Layer: Theoretical Basis, Transmission Media, Wireless Transmission, Digital Transmission, 
Switching.
Data link layer: Error Control, Flow Control, Sliding Window Protocols, HDLC, PPP","1. Andrew S Tanenbaum, “Computer Networks” Pearson Education
2. Ajit Pal, “Data Communications and Computer Networks ” PHI",10,40,20,10,5,5,10
"ME206L","Thermodynamics+Solid  Mechanics",2,0,0,3,0,0,"NIL","1. To perform compression, shear and bending test on steel bar and determine compressive strength, 
shear strength and bending strength of the bar. 
2. To determine the Brinell Hardness/ Rockwell Hardness number for the given specimen. 
3. To determine the energy absorbed by the given specimen by Izod Impact Test and Charpy Impact 
Test.
4. To determine the bending stress and strain in a cantilever beam, using resistance strain gauges.
5. The fundamental objectives of this study are: (a) Calculate and experimentally observe the angular 
velocity ratios of gear trains, and (b) Compute the efficiency of gear train.
6. To verify the relation T=I.W.Wp. for gyroscope and stability of vehicles.
7. Compare the measured natural frequency to that obtained theoretically for Whirling of shaft.
8. To find out the corrected performances parameters (compression ratio, valve timing, etc) on petrol 
engine and to plot the heat balance sheet.
9. To study the effect of cantilever loading on standard rotating bending specimen, also study the 
characteristics of S-N curve for ferrous materials.
10. To study dynamometer & conduct load test on diesel engine.
11. To perform torsion test on a wire.","1. Beer and Johnston , “Mechanics of Materials”, 5th Edition, McGraw Hill
2. Mechanical Behavior of Materials, Second Edition by Thomas H. Courtney
3. Theory of Mechanisms & Machines by Ghosh & Mallick, EWP
4. Rattan S.S., .Theory of Machines.
5. Norman E. Dowling "" Mechanical Behavior of Materials: Engineering Methods for 
Deformation, Fracture, and Fatigue"" 
6. Callister, “Materials Science and Engineering” John Wiley & Sons Inc",10,40,20,10,5,5,10
"NS102","Engineering Mechanics",4,2,1,2,0,0,"NIL","Scalars and Vectors, Cartesian and curvilinear coordinate system, Newtons law: statics and dynamics, centre of mass and variable mass problem, work and energy, stable and unstable equilibrium, collisions in two dimension: Laboratory and COM frame [7 H]
Double and triple integrals, Line, surface & volume integrals, Gradient, Divergence & Curl (in Cartesian and curvilinear coordinates), Line, surface, volume integrals, Guass’s and Stoke’s theorem (problems and physical significance) [7 H]
Rotational motion, Torque, Angular momentum, Moments of Inertia, pure rotation and center of percussion (example), combined translation and rotation & the role of centre of mass, Chasles' Theorem, Moments of Inertia. [7 H]
Moment of inertia tensor, Principal Axes of Inertia, Finding the Principal Axes; Eigenvalue Equations, Precession of a Top due to a Weak Torque & gyroscopic motion [7 H]
Lab experiments:
1. Introduction to error analysis
2. Spring oscillation apparatus
3. Simple pendulum
4. Moment of inertia of a flywheel
5. Determine g by Bar pendulum
6. Tortional pendulum
7. Sonometer
8. Stoke’s law
9. Newton’s law of cooling","Text/Reference books:
1. Introduction to mechanics: Daniel Kleppner , Robert J. Kolenkow
2. Mathematical Methods in the Physical Sciences: Mary L. Boas",10,40,20,10,5,5,10
"EC1001","Introduction to Profession(ece)",4,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"ME8017","Electric Vehicle and Mobility",3,3,0,0,0,0,"","Syllabus","books",5,30,20,15,10,10,10
"CS8010","Introduction to Digital watermarking",3,20,0,0,0,0,"","Syllabus","books",5,30,20,15,10,10,10
"OE3D21","Communication Design",3,20,0,0,0,0,"","Syllabus","books",5,30,20,15,10,10,10
