"type","Course Slot","info","duration","min_registration_limit","max_registration_limit","Course Code","Course Name","credits"
"Natural Science","NS1","B.Tech, Sem 1",1,0,1000,"NS101","Mathematics -I",4
"Natural Science","NS1","B.Tech, Sem 2",1,0,1000,"NS101","Mathematics -I",4
"Natural Science","NS1","B.Tech, Sem 1",1,0,1000,"NS101","Mathematics -I",4
"Natural Science","NS1","Sem 1, B.Tech UG",1,0,1000,"NS101","Mathematics -I",4
"Natural Science","NS2","B.Tech, Sem 1",1,0,1000,"NS102","Engineering Mechanics",4
"Natural Science","NS2","B.Tech, Sem 1",1,0,1000,"NS102","Engineering Mechanics",4
"Natural Science","NS2","B.Tech, Sem 1",1,0,1000,"NS102","Engineering Mechanics",4
"Natural Science","NS2","Sem 1, B.Tech",1,0,1000,"NS102","Engineering Mechanics",4
"Humanities","HS1","B.Tech, Sem 1",1,0,1000,"HS101","Effective Communications",2
"Humanities","HS1","B.Tech, Sem 1",1,0,1000,"HS101","Effective Communications",2
"Humanities","HS1","B.Tech, Sem 1",1,0,1000,"HS101","Effective Communications",2
"Humanities","HS1","Sem 1, B.Tech",1,0,1000,"HS101","Effective Communications",2
"Engineering Science","ES1","B.Tech, Sem 1",1,0,1000,"ES101","Fundamentals of Electrical and Electronics Engineering",5
"Engineering Science","ES1","Sem 1, B.Tech",1,0,1000,"ES101","Fundamentals of Electrical and Electronics Engineering",5
"Engineering Science","ES1","B.Tech, Sem 1",1,0,1000,"ES101","Fundamentals of Electrical and Electronics Engineering",5
"Engineering Science","ES1","B.Tech, Sem 1",1,0,1000,"ES101","Fundamentals of Electrical and Electronics Engineering",5
"Engineering Science","ES2","B.Tech, Sem 1",1,0,1000,"ES102","Fundamentals of Computing",4
"Engineering Science","ES2","B.Tech, Sem 1",1,0,1000,"ES102","Fundamentals of Computing",4
"Engineering Science","ES2","B.Tech, Sem 1",1,0,1000,"ES102","Fundamentals of Computing",4
"Engineering Science","ES2","Sem 1, B.Tech",1,0,1000,"ES102","Fundamentals of Computing",4
"Natural Science","NS3","B.Tech, Sem 2",1,0,1000,"NS103","Mathematics-II",4
"Natural Science","NS3","Sem 2, B.Tech",1,0,1000,"NS103","Mathematics-II",4
"Natural Science","NS3","B.Tech, Sem 1",1,0,1000,"NS103","Mathematics-II",4
"Natural Science","NS3","B.Tech, Sem 2",1,0,1000,"NS103","Mathematics-II",4
"Natural Science","NS4","B.Tech, Sem 2",1,0,1000,"NS104","Electrodynamics and Optics",5
"Natural Science","NS4","Sem 2, B.Tech",1,0,1000,"NS104","Electrodynamics and Optics",5
"Natural Science","NS4","B.Tech, Sem 2",1,0,1000,"NS104","Electrodynamics and Optics",5
"Natural Science","NS4","B.Tech, Sem 2",1,0,1000,"NS104","Electrodynamics and Optics",5
"Humanities","HS2","B.Tech, Sem 2",1,0,1000,"HS102","Culture and Human Values",2
"Humanities","HS2","B.Tech, Sem 2",1,0,1000,"HS102","Culture and Human Values",2
"Humanities","HS2","B.Tech, Sem 2",1,0,1000,"HS102","Culture and Human Values",2
"Design","DS1","B.Tech, Sem 2",1,0,1000,"DS101","Engineering Graphics",3
"Design","DS1","Sem 2, B.Tech",1,0,1000,"DS101","Engineering Graphics",3
"Design","DS1","B.Tech, Sem 2",1,0,1000,"DS101","Engineering Graphics",3
"Design","DS1","B.Tech, Sem 2",1,0,1000,"DS101","Engineering Graphics",3
"Engineering Science","ES3","Sem 2, B.Tech",1,0,1000,"ES103","Data Structures and Algorithms",4
"Engineering Science","ES3","B.Tech, Sem 2",1,0,1000,"ES103","Data Structures and Algorithms",4
"Engineering Science","ES3","B.Tech, Sem 2",1,0,1000,"ES103","Data Structures and Algorithms",4
"Engineering Science","ES3","B.Tech, Sem 2",1,0,1000,"ES103","Data Structures and Algorithms",4
"Professional Core","DC1ME",NULL,1,0,1000,"ME2002","Manufacturing Process",4
"Professional Core","DC1ME","-",1,0,1000,"ME2002","Manufacturing Process",4
"Professional Core","DC1ME",NULL,1,0,1000,"ME2002","Manufacturing Process",4
"Humanities","HS2","B.Tech,Sem3",1,0,1000,"HS 102","Culture and Human  Values",2
"Management Science","MS1","B.Tech, Sem 4",1,0,1000,"MS201","Management Concepts  and Techniques",4
"Management Science","MS1","B.Tech, Sem4",1,0,1000,"MS201","Management Concepts  and Techniques",4
"Management Science","MS1","B.Tech, Sem 5",1,0,1000,"MS201","Management Concepts  and Techniques",4
"Management Science","MS1","B.Tech, Sem 5",1,0,1000,"MS201","Management Concepts  and Techniques",4
"Professional Core","Prof C3","B.Tech, Sem 4",1,0,1000,"EC203","Network Analysis and  Synthesis",4
"Professional Core","Prof C3","B.Tech, Sem 4",1,0,1000,"ME203","Thermodynamics",4
"Professional Core","ProfC3","B.Tech , Sem4",1,0,1000,"CS203","Computer Organization  and Architecture",4
"Professional Core","Prof C4","B.Tech, Sem 4",1,0,1000,"EC204","Signals and Systems",4
